name,joints,link_length,prev_axe,dof,mu,time,LCI,Z
roll_z_0_1pitch_y_0_1roll_z_0_7roll_y_0_7roll_y_0_1pitch_y_0_1,roll_pitch__roll__roll__roll__pitch_,0.1_0.1__0.7__0.7__0.1__0.1_,z_y__z__y__y__y_,6,0.617,2.17,3.973,0.065
roll_z_0_1pitch_y_0_7pitch_x_0_4pitch_y_0_4pitch_z_0_4pitch_y_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.4__0.4__0.4__0.7_,z_y__x__y__z__y_,6,0.62,2.37,4.014,0.059
roll_z_0_1pitch_y_0_4pitch_x_0_1pitch_z_0_7pitch_z_0_7roll_z_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.1__0.7__0.7__0.4_,z_y__x__z__z__z_,6,0.61,2.71,4.006,0.062
roll_z_0_1pitch_y_0_7roll_z_0_7roll_y_0_7pitch_y_0_7pris_z_0_7,roll_pitch__roll__roll__pitch__pris_,0.1_0.7__0.7__0.7__0.7__0.7_,z_y__z__y__y__z_,6,0.621,2.13,4.043,0.06
roll_z_0_1pitch_y_0_7pitch_x_0_1pitch_y_0_7roll_x_0_4roll_y_0_4,roll_pitch__pitch__pitch__roll__roll_,0.1_0.7__0.1__0.7__0.4__0.4_,z_y__x__y__x__y_,6,0.635,2.24,3.924,0.064
roll_z_0_1pitch_y_0_1roll_z_0_7pitch_y_0_1pitch_y_0_4pitch_y_0_1,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.1__0.7__0.1__0.4__0.1_,z_y__z__y__y__y_,6,0.627,2.28,4.142,0.053
roll_z_0_1pitch_y_0_4pitch_z_0_1pitch_x_0_1pitch_x_0_4pitch_z_0_1,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.1__0.1__0.4__0.1_,z_y__z__x__x__z_,6,0.391,2.78,4.883,0.005
roll_z_0_1roll_y_0_7roll_y_0_7roll_y_0_7pitch_y_0_4roll_z_0_1,roll_roll__roll__roll__pitch__roll_,0.1_0.7__0.7__0.7__0.4__0.1_,z_y__y__y__y__z_,6,0.617,2.49,4.105,0.055
roll_z_0_1roll_y_0_7roll_y_0_7roll_y_0_1pitch_y_0_7roll_x_0_1,roll_roll__roll__roll__pitch__roll_,0.1_0.7__0.7__0.1__0.7__0.1_,z_y__y__y__y__x_,6,0.585,2.35,3.767,0.029
roll_z_0_1pitch_y_0_1roll_z_0_1pitch_y_0_4roll_y_0_7pris_z_0_7,roll_pitch__roll__pitch__roll__pris_,0.1_0.1__0.1__0.4__0.7__0.7_,z_y__z__y__y__z_,6,0.617,2.58,4.006,0.063
roll_z_0_1pitch_y_0_7pitch_y_0_1pitch_y_0_1pitch_y_0_7pitch_x_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.1__0.1__0.7__0.4_,z_y__y__y__y__x_,6,0.651,2.46,3.976,0.064
roll_z_0_1pitch_y_0_4roll_z_0_7pitch_y_0_7pitch_y_0_1pitch_z_0_4,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.4__0.7__0.7__0.1__0.4_,z_y__z__y__y__z_,6,0.608,2.3,4.176,0.053
roll_z_0_1pitch_y_0_7roll_y_0_1pitch_y_0_1pitch_y_0_4pitch_x_0_1,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.7__0.1__0.1__0.4__0.1_,z_y__y__y__y__x_,6,0.621,2.38,4.087,0.008
roll_z_0_1pitch_y_0_7pitch_z_0_7roll_x_0_4pitch_y_0_7pitch_y_0_1,roll_pitch__pitch__roll__pitch__pitch_,0.1_0.7__0.7__0.4__0.7__0.1_,z_y__z__x__y__y_,6,0.714,2.19,2.591,0.081
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_z_0_4pitch_x_0_1roll_x_0_7,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.4__0.4__0.1__0.7_,z_y__y__z__x__x_,6,0.624,2.17,4.174,0.055
roll_z_0_1pitch_y_0_1pitch_x_0_4pitch_x_0_7pitch_x_0_4pitch_z_0_1,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.4__0.7__0.4__0.1_,z_y__x__x__x__z_,6,0.615,2.5,3.969,0.061
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_z_0_1pitch_z_0_7roll_x_0_1,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.4__0.1__0.7__0.1_,z_y__y__z__z__x_,6,0.642,2.44,3.994,0.061
roll_z_0_1pitch_y_0_4pitch_y_0_7pitch_y_0_1pitch_z_0_1pitch_y_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.7__0.1__0.1__0.7_,z_y__y__y__z__y_,6,0.631,2.42,4.077,0.056
roll_z_0_1pitch_y_0_4pitch_y_0_7pitch_y_0_4roll_x_0_4roll_y_0_1,roll_pitch__pitch__pitch__roll__roll_,0.1_0.4__0.7__0.4__0.4__0.1_,z_y__y__y__x__y_,6,0.609,2.34,4.006,0.059
roll_z_0_1pitch_y_0_1pitch_x_0_7roll_z_0_7roll_y_0_1pitch_y_0_1,roll_pitch__pitch__roll__roll__pitch_,0.1_0.1__0.7__0.7__0.1__0.1_,z_y__x__z__y__y_,6,0.629,2.39,3.975,0.064
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_x_0_7pitch_x_0_4pitch_x_0_1,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.7__0.4__0.1_,z_y__x__x__x__x_,6,0.608,2.39,4.212,0.048
roll_z_0_1pitch_y_0_7pitch_x_0_4pitch_x_0_1roll_y_0_1pitch_y_0_4,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.7__0.4__0.1__0.1__0.4_,z_y__x__x__y__y_,6,0.608,2.28,4.059,0.057
roll_z_0_1roll_y_0_7pitch_y_0_4roll_z_0_4pitch_y_0_1roll_x_0_7,roll_roll__pitch__roll__pitch__roll_,0.1_0.7__0.4__0.4__0.1__0.7_,z_y__y__z__y__x_,6,0.624,1.87,4.077,0.058
roll_z_0_1pitch_y_0_4roll_x_0_4pitch_y_0_4pitch_x_0_1pitch_y_0_4,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.4__0.4__0.4__0.1__0.4_,z_y__x__y__x__y_,6,0.631,2.43,4.068,0.062
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_z_0_1roll_y_0_4roll_y_0_4,roll_pitch__pitch__pitch__roll__roll_,0.1_0.4__0.4__0.1__0.4__0.4_,z_y__y__z__y__y_,6,0.644,2.11,4.197,0.05
roll_z_0_1pitch_y_0_7pitch_z_0_1roll_x_0_4pitch_y_0_1roll_y_0_7,roll_pitch__pitch__roll__pitch__roll_,0.1_0.7__0.1__0.4__0.1__0.7_,z_y__z__x__y__y_,6,0.629,2.43,3.934,0.063
roll_z_0_1roll_y_0_1pitch_y_0_7pitch_z_0_7roll_y_0_4roll_y_0_7,roll_roll__pitch__pitch__roll__roll_,0.1_0.1__0.7__0.7__0.4__0.7_,z_y__y__z__y__y_,6,0.635,2.44,3.936,0.063
