'"{''#long_link''',long_link,dof,par_axes_y,pitch_joint,p/r_ratio,acc_length,Total,simulated,left
2,0.7,6,2,3,0, 2.6}",2640,132,2508
0,0.4,6,3,5,0, 2}",48,48,0
0,0.4,6,2,2,0.2, 1.5}",1634,328,1306
4,0.7,6,0,3,0.2, 3.6}",3160,150,3010
1,0.7,6,4,5,0, 2.6}",50,50,0
1,0.7,6,3,5,0, 2.6}",200,200,0
3,0.7,6,2,3,0.5, 3.1}",4320,217,4103
0,0.4,4,2,3,0, 1.5}",2,2,0
2,0.7,6,0,4,0.2, 2.6}",17040,850,16190
1,0.7,6,0,5,0, 2.6}",1100,57,1043
2,0.7,6,0,0,0.5, 2}",990,45,945
1,0.7,6,3,3,0.2, 1.5}",836,45,791
4,0.7,5,0,4,0, 3.1}",16,16,0
0,0.4,6,2,2,0.2, 2}",516,112,404
5,0.7,6,2,2,0, 3.6}",10,10,0
0,0.4,5,0,1,0, 2}",10,10,0
0,0.4,5,2,2,0.25, 2}",40,34,6
1,0.7,6,0,0,0.5, 1.5}",2178,100,2078
1,0.7,6,3,3,0.2, 2}",1254,67,1187
2,0.7,5,0,4,0, 2}",288,288,0
3,0.7,6,0,1,0.2, 3.1}",5160,247,4913
2,0.7,6,3,4,0, 3.1}",140,140,0
2,0.7,6,4,4,0, 2}",40,40,0
0,0.4,6,0,1,0, 1.5}",247,247,0
0,0.4,6,2,4,0, 2.6}",59,59,0
4,0.7,6,2,2,0.5, 3.6}",770,44,726
0,0.4,6,0,1,1, 1.5}",12312,2223,10089
4,0.7,6,0,5,0, 3.6}",220,220,0
1,0.7,5,3,3,0.25, 1.5}",144,112,32
1,0.7,4,3,3,0, 2}",3,3,0
4,0.7,6,0,4,0, 3.1}",560,32,528
2,0.7,6,0,1,0, 3.1}",130,130,0
2,0.7,6,0,1,1, 3.1}",6480,322,6158
4,0.7,6,3,5,0, 3.1}",40,40,0
2,0.7,5,0,2,0.25, 2.6}",912,912,0
3,0.7,6,0,3,0.2, 2.6}",6320,293,6027
0,0.4,6,2,2,0.5, 1.5}",2926,492,2434
1,0.7,4,0,1,0.33, 2}",114,114,0
2,0.7,6,0,4,0, 3.1}",1120,56,1064
4,0.7,5,2,2,0.25, 3.1}",40,34,6
1,0.7,5,2,2,0.67, 1.5}",384,320,64
1,0.7,6,3,5,0, 2}",264,263,1
1,0.7,5,3,3,0, 2}",64,64,0
2,0.7,6,2,4,0.2, 3.1}",1140,57,1083
1,0.7,6,2,3,0.5, 1.5}",3168,151,3017
0,0.4,5,2,4,0, 1.5}",80,80,0
