"{'#long_link': 4, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 0.25, 'acc_length': 3.1}",93
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 0.2, 'acc_length': 1.5}",2970
"{'#long_link': 2, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.67, 'acc_length': 2.6}",765
"{'#long_link': 4, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 5, 'p/r_ratio': 0.0, 'acc_length': 3.6}",405
"{'#long_link': 2, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.5, 'acc_length': 2.6}",5940
"{'#long_link': 2, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 0.25, 'acc_length': 2.6}",2880
"{'#long_link': 2, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 3, 'p/r_ratio': 0.25, 'acc_length': 2}",1053
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 0.0, 'acc_length': 1.5}",330
"{'#long_link': 3, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 1.0, 'acc_length': 2.6}",1690
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.0, 'acc_length': 2.6}",25
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 5, 'p/r_ratio': 0.0, 'acc_length': 2}",1215
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 0.25, 'acc_length': 1.5}",930
